"first_name","last_name","job_title","department","email","phone_number","date_of_birth","hire_date","salary","password","employee_id","credit_card_number"
"Lisa","Zhang","Logistics and distribution manager","Marketing","dalescott@example.com","+1-981-775-2783x300","1984-08-24","2023-06-30","96397.19","7U5FTpIa","5fed6305-0d5b-4900-804d-581ee78a0010","4122301200920723335"
"Kayla","Mays","Diagnostic radiographer","HR","aburton@example.com","6069837429","1990-02-20","2021-05-10","65054.6","8LDbqfek","7630b775-6950-4934-905a-c66f2cce121f","579838571183"
"Cathy","Sanchez","Phytotherapist","Engineering","david14@example.com","560-645-2598","1990-05-16","2021-01-30","112297.99","n8s2VWBv","35343a91-b2c5-4662-93bb-848e249325f4","3517555562717267"
"Shelby","Jones","Patent attorney","Finance","jenna25@example.net","934.883.5953x272","1980-10-05","2022-02-25","49071.29","o3nA3J3f","be687ed5-1ddd-4a97-a7f5-36513fd64a69","213159888254452"
"Joseph","Knox","Tree surgeon","Sales","kwilliams@example.net","223.788.1036x587","1976-10-24","2021-04-17","83631.56","U907Kxor","3a974fab-4c88-424f-8ac3-051a288ad114","3503245969132858"
"Heather","Miller","Herbalist","Engineering","garywright@example.com","3107322037","2003-01-28","2021-02-08","85090.63","6tiWWcbV","d367a78b-919f-4730-a37c-195635c88b5b","4270313605109034"
"Dustin","Anderson","Recycling officer","Marketing","alicia63@example.org","498-331-2854x6558","1969-11-26","2021-06-03","88685.4","6E17OUUs","d3bf8f1c-f996-4a07-a8f8-59ec70958ea6","3525111812981343"
"Paul","Steele","Trade mark attorney","Sales","rbeck@example.com","+1-939-299-7257x482","1986-12-31","2023-07-16","105340.72","U6sXEhXj","cd6bc387-c40f-4b7b-a79c-55c9efc2d3ad","374941206581590"
"Brianna","Barnes","Child psychotherapist","Engineering","snyderchristopher@example.net","440-243-4079x1416","1971-06-29","2022-06-21","55862.48","Zk2UFvo4","356c803b-7207-4b99-8dad-cad7443c4597","213189742007697"
"Karl","Bush","Metallurgist","Finance","fwinters@example.net","001-223-720-5570x7645","1969-09-06","2020-08-23","76681.44","iHiwZ1Wm","aa4df1cb-bd49-4716-9fb8-3aac6b59a4e8","30530559025259"
"Dawn","Fuller","Accountant, chartered certified","Engineering","timothyflores@example.org","448-523-5959x020","2003-11-21","2022-01-27","86622.03","5TGEYKDw","8ea6d69b-08c7-412d-bd07-417a53ee3529","373244008535539"
"Peggy","Jones","Teacher, music","Sales","lisafox@example.org","+1-739-531-9451x550","1972-03-06","2023-10-05","59130.62","6VTFkkZ7","23855256-b054-4466-86eb-80fb80385b29","4227684137146486"
"Crystal","Clark","Scientific laboratory technician","Finance","prichardson@example.com","+1-293-313-2903x5209","2000-10-22","2022-07-03","77771.13","8k4FXwbc","23a52cfb-8f22-4e89-b29d-20e354533d4a","4352152126042238"
"Laura","Cruz","Learning disability nurse","Finance","lemelissa@example.net","7488445352","1968-01-30","2021-07-25","70335.05","6HUrG7Zp","0240d3ad-2a0d-4f92-b4b8-bb98437dda6f","4465231143067"
"Andrea","Everett","Armed forces logistics/support/administrative officer","HR","fhaynes@example.net","857.541.7978x07973","1968-10-10","2021-03-09","70397.18","emQ4OIgX","bf4f9cb2-945d-4a40-b320-40b4dd8042da","4719403164063333650"
"Jeffrey","Parker","Oceanographer","Sales","angela68@example.org","841-500-5729x3516","1991-03-06","2022-01-21","64322.68","YQ3Ru0Oy","e5377803-fe47-42ec-92d7-999753dbbfe1","4125984994425459"
"Bradley","Riley","Surveyor, planning and development","Sales","joneill@example.net","+1-372-481-6143x404","1995-03-19","2020-07-26","70201.24","dYw9LkSf","1af5bf0f-2608-494b-b797-c03753a5d30d","3525722860502284"
"Nathan","Flores","Civil engineer, consulting","Engineering","clarkmolly@example.org","4783340066","1984-02-09","2022-03-08","70518.61","yCx4qgEp","55d68848-d0e4-443f-9c6d-9daf37c78e12","2285834580521882"
"Luke","Craig","Designer, television/film set","Marketing","dakotaallen@example.com","567.313.1044x986","1962-08-10","2020-07-20","103927.78","8TamJd9g","b24eeade-e051-4eac-8410-19b831ea3f67","4035327031636622"
"Michelle","Torres","Librarian, academic","Marketing","charlescooper@example.org","(766)260-3414","2005-06-25","2023-07-12","115283.19","vJeCe2Fq","dcafb842-3bc3-46c3-a93f-f6d198010051","4165341139339452"
"Jonathan","Henderson","Hospital doctor","Engineering","thorntonbrian@example.org","(463)777-6368","1986-03-22","2023-11-24","80355.43","t7H4Oogj","a9bf1cec-56e2-46a4-b646-e8eeab46ec9b","4458997105804872"
"Angela","Smith","Astronomer","Finance","maynardchristopher@example.com","947-773-7098","1987-10-29","2022-09-30","115855.4","M5TSBQBp","ff037bca-fa55-48b4-8cc7-4819e912b879","6541232260415437"
